teryt,Gmina,Województwo,turnout_r1,mentzen_pct,nawrocki_pct_r1,eligible,turnout_r2,nawrocki_pct,duda_2020,turnout_2020,turnout_delta,nawrocki_swing,trzaskowski_2020_r2,duda_2020_r2,turnout_2020_r2,trzaskowski_2025_r2,trzaskowski_shift,nawrocki_vs_duda,braun,holownia,biejat,zandberg,fragmentation,anti_estab,left_bloc,trzaskowski_r2,teryt_str,commune_type_code,commune_type,is_urban,right_bloc,bloc_diff,pkw_code_x,pop_density,pkw_code_y,urban_rate,pkw_code,unemployed,unemployed_rate
20607,gm. Mysłakowice,dolnośląskie,62.00425871706149,13.773747841105354,24.24438687392056,7514.0,66.8698648290485,41.42284569138276,35.16,60.53,4.865606111987006,17.178458817462207,59.7,40.3,65.01,58.57715430861724,-1.1228456913827642,1.1228456913827642,5.224525043177893,4.641623488773748,4.166666666666666,3.562176165803109,0.748064172490835,20.142487046632123,7.728842832469775,58.57715430861724,020607,7,,0,18.998272884283246,11.26943005181347,,,,,,,
20608,gm. Podgórzyn,dolnośląskie,63.7425989404799,11.171126933464278,20.476307390130124,6418.0,67.8927680798005,35.032437442075995,30.6,62.56,4.150169139320603,14.556130051945871,64.35,35.65,66.52,64.967562557924,0.6175625579240034,-0.6175625579240034,5.033145101890498,4.4930027007120055,4.934937392585318,3.5109256076602016,0.7209825062846122,17.407316474343236,8.44586300024552,64.967562557924,020608,8,,0,16.204272035354776,7.758409035109256,,,,,,,
20609,gm. Stara Kamienica,dolnośląskie,59.57288303948348,13.967185527976442,26.293647454774927,4027.0,63.60220440881763,45.38950715421304,37.29,55.82,4.0293213693341485,19.09585969943811,59.67,40.33,60.51,54.61049284578696,-5.059507154213044,5.059507154213044,6.184265881363063,4.459402608329827,4.164913756836349,3.57593605384939,0.7644524576341531,21.16112747160286,7.740849810685738,54.61049284578696,020609,9,,0,20.151451409339504,12.410601598653766,,,,,,,
20701,m. Kamienna Góra,dolnośląskie,58.25162166239252,12.067620286085823,27.464239271781533,13258.0,63.38555598012992,45.51204086596935,40.45,57.94,5.133934317737399,18.047801594187813,53.4,46.6,60.9,54.48795913403065,1.0879591340306547,-1.0879591340306547,5.227568270481144,3.992197659297789,4.304291287386216,3.758127438231469,0.7391919825622588,18.205461638491546,8.062418725617686,54.48795913403065,020701,1,Urban,1,17.295188556566966,9.23276983094928,,,,,,,
20702,gm. Kamienna Góra,dolnośląskie,63.43149038461539,16.944709246901812,28.69399428026692,6656.0,68.0545155009735,51.88070331626975,43.23,61.63,4.623025116358107,23.18670903600283,49.3,50.7,64.3,48.11929668373025,-1.1807033162697491,1.1807033162697491,6.601525262154433,4.933269780743565,4.38512869399428,3.28884652049571,0.7789789245011591,24.571020019065777,7.67397521448999,48.11929668373025,020702,2,Urban-Rural,0,23.546234509056244,15.872259294566256,,,,,,,
20703,gm. Lubawka,dolnośląskie,60.634605850272685,12.538540596094553,27.502569373072973,8068.0,65.45860742211741,44.98660543436663,40.06,59.12,4.824001571844725,17.484036061293658,55.12,44.88,63.37,55.01339456563337,-0.106605434366628,0.106605434366628,5.590955806783144,4.295991778006167,4.665981500513874,3.843782117163412,0.7479798759729552,18.848920863309356,8.509763617677287,55.01339456563337,020703,3,Rural,0,18.1294964028777,9.619732785200412,,,,,,,
20704,gm. Marciszów,dolnośląskie,57.829876765855126,16.805845511482254,30.167014613778704,3327.0,63.28125,51.388888888888886,44.79,56.27,5.451373234144874,21.22187427511018,48.26,51.74,60.92,48.61111111111112,0.3511111111111162,-0.3511111111111162,6.576200417536534,4.645093945720251,5.010438413361169,3.392484342379958,0.7808725881599191,24.73903966597077,8.402922755741127,48.611111111111114,020704,4,Urban,1,23.382045929018787,14.97912317327766,,,,,,,
20801,m. Duszniki-Zdrój,dolnośląskie,61.31468531468531,12.632062471290768,26.550298576022048,3575.0,73.11212814645309,42.30921312771847,35.24,61.8,11.797442831767777,15.758914551696416,59.36,40.64,66.56,57.69078687228153,-1.6692131277184714,1.6692131277184714,5.144694533762058,3.536977491961415,4.501607717041801,2.4345429490124024,0.7297545707419764,18.64951768488746,6.936150666054203,57.69078687228153,020801,1,Urban,1,17.776757005052826,10.840606338998622,,,,,,,
20802,m. Kłodzko,dolnośląskie,61.03741320344077,11.932787444558173,25.87853974752644,19298.0,66.98039215686275,42.27007414418678,37.85,60.16,5.942978953421978,16.391534396660337,57.04,42.96,64.3,57.72992585581322,0.6899258558132217,-0.6899258558132217,5.092118730808598,4.716820197884681,3.5226885022176733,3.4885704537700444,0.7354156037515186,18.167860798362334,7.011258955987717,57.72992585581322,020802,2,Urban-Rural,0,17.02490617536677,10.013647219379052,,,,,,,
20803,m. Kudowa-Zdrój,dolnośląskie,65.56580259222333,10.498186676846728,28.001527008971177,8024.0,70.3371062992126,44.364212750968655,38.03,64.55,4.771303706989272,16.362685741997478,56.61,43.39,69.21,55.63578724903135,-0.974212750968654,0.974212750968654,6.527963351784692,3.722084367245657,3.836610040083985,3.225806451612903,0.7314623271417063,17.980530635617487,7.062416491696888,55.635787249031345,020803,3,Rural,0,17.02615002863142,9.963733536934532,,,,,,,
