"Code";"Name";"Indicators";"Year";"Value";"Measure Unit";"Attribute";
0203032;"Jerzmanowa (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
0203032;"Jerzmanowa (2)";"population chenge per 1000 inhabitants";"2023";23.7;"person";"";
0203032;"Jerzmanowa (2)";"population in thousands";"2023";5.88;"thousand persons";"";
0203032;"Jerzmanowa (2)";"population in thousands men";"2023";2.95;"thousand persons";"";
0203032;"Jerzmanowa (2)";"population in thousands women";"2023";2.93;"thousand persons";"";
0203032;"Jerzmanowa (2)";"urbanization rate";"2023";0.0;"%";"";
0203042;"Kotla (2)";"population per 1 km2";"2023";34.6;"person";"";
0203042;"Kotla (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
0203042;"Kotla (2)";"population chenge per 1000 inhabitants";"2023";5.0;"person";"";
0203042;"Kotla (2)";"population in thousands";"2023";4.41;"thousand persons";"";
0203042;"Kotla (2)";"population in thousands men";"2023";2.20;"thousand persons";"";
0203042;"Kotla (2)";"population in thousands women";"2023";2.21;"thousand persons";"";
0203042;"Kotla (2)";"urbanization rate";"2023";0.0;"%";"";
0203052;"Pęcław (2)";"population per 1 km2";"2023";32.7;"person";"";
0203052;"Pęcław (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
0203052;"Pęcław (2)";"population chenge per 1000 inhabitants";"2023";-5.2;"person";"";
0203052;"Pęcław (2)";"population in thousands";"2023";2.10;"thousand persons";"";
0203052;"Pęcław (2)";"population in thousands men";"2023";1.07;"thousand persons";"";
0203052;"Pęcław (2)";"population in thousands women";"2023";1.03;"thousand persons";"";
0203052;"Pęcław (2)";"urbanization rate";"2023";0.0;"%";"";
0203062;"Żukowice (2)";"population per 1 km2";"2023";49.8;"person";"";
0203062;"Żukowice (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
0203062;"Żukowice (2)";"population chenge per 1000 inhabitants";"2023";-15.4;"person";"";
0203062;"Żukowice (2)";"population in thousands";"2023";3.40;"thousand persons";"";
0203062;"Żukowice (2)";"population in thousands men";"2023";1.72;"thousand persons";"";
0203062;"Żukowice (2)";"population in thousands women";"2023";1.68;"thousand persons";"";
0203062;"Żukowice (2)";"urbanization rate";"2023";0.0;"%";"";
0204000;"Powiat górowski";"population per 1 km2";"2023";44.0;"person";"";
0204000;"Powiat górowski";"population density of the built-up and urbanized area";"2023";;"person";"";
0204000;"Powiat górowski";"population chenge per 1000 inhabitants";"2023";-8.5;"person";"";
0204000;"Powiat górowski";"population in thousands";"2023";32.46;"thousand persons";"";
0204000;"Powiat górowski";"population in thousands men";"2023";16.10;"thousand persons";"";
0204000;"Powiat górowski";"population in thousands women";"2023";16.36;"thousand persons";"";
0204000;"Powiat górowski";"urbanization rate";"2023";40.8;"%";"";
0204013;"Góra (3)";"population per 1 km2";"2023";69.4;"person";"";
0204013;"Góra (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
0204013;"Góra (3)";"population chenge per 1000 inhabitants";"2023";-8.7;"person";"";
0204013;"Góra (3)";"population in thousands";"2023";18.46;"thousand persons";"";
0204013;"Góra (3)";"population in thousands men";"2023";9.08;"thousand persons";"";
0204013;"Góra (3)";"population in thousands women";"2023";9.37;"thousand persons";"";
0204013;"Góra (3)";"urbanization rate";"2023";58.0;"%";"";
0204014;"Góra - urban area (4)";"population per 1 km2";"2023";783.9;"person";"";
0204014;"Góra - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
0204014;"Góra - urban area (4)";"population chenge per 1000 inhabitants";"2023";-16.3;"person";"";
0204014;"Góra - urban area (4)";"population in thousands";"2023";10.70;"thousand persons";"";
0204014;"Góra - urban area (4)";"population in thousands men";"2023";5.12;"thousand persons";"";
0204014;"Góra - urban area (4)";"population in thousands women";"2023";5.58;"thousand persons";"";
0204014;"Góra - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
0204015;"Góra - rural area (5)";"population per 1 km2";"2023";30.7;"person";"";
0204015;"Góra - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
0204015;"Góra - rural area (5)";"population chenge per 1000 inhabitants";"2023";2.1;"person";"";
0204015;"Góra - rural area (5)";"population in thousands";"2023";7.76;"thousand persons";"";
0204015;"Góra - rural area (5)";"population in thousands men";"2023";3.97;"thousand persons";"";
0204015;"Góra - rural area (5)";"population in thousands women";"2023";3.79;"thousand persons";"";
0204015;"Góra - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
0204022;"Jemielno (2)";"population per 1 km2";"2023";21.9;"person";"";
0204022;"Jemielno (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
0204022;"Jemielno (2)";"population chenge per 1000 inhabitants";"2023";-13.8;"person";"";
0204022;"Jemielno (2)";"population in thousands";"2023";2.72;"thousand persons";"";
0204022;"Jemielno (2)";"population in thousands men";"2023";1.38;"thousand persons";"";
0204022;"Jemielno (2)";"population in thousands women";"2023";1.34;"thousand persons";"";
0204022;"Jemielno (2)";"urbanization rate";"2023";0.0;"%";"";
0204032;"Niechlów (2)";"population per 1 km2";"2023";29.9;"person";"";
0204032;"Niechlów (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
0204032;"Niechlów (2)";"population chenge per 1000 inhabitants";"2023";-9.0;"person";"";
0204032;"Niechlów (2)";"population in thousands";"2023";4.51;"thousand persons";"";
0204032;"Niechlów (2)";"population in thousands men";"2023";2.29;"thousand persons";"";
0204032;"Niechlów (2)";"population in thousands women";"2023";2.23;"thousand persons";"";
0204032;"Niechlów (2)";"urbanization rate";"2023";0.0;"%";"";
0204043;"Wąsosz (3)";"population per 1 km2";"2023";34.3;"person";"";
0204043;"Wąsosz (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
0204043;"Wąsosz (3)";"population chenge per 1000 inhabitants";"2023";-5.7;"person";"";
0204043;"Wąsosz (3)";"population in thousands";"2023";6.77;"thousand persons";"";
0204043;"Wąsosz (3)";"population in thousands men";"2023";3.36;"thousand persons";"";
0204043;"Wąsosz (3)";"population in thousands women";"2023";3.41;"thousand persons";"";
0204043;"Wąsosz (3)";"urbanization rate";"2023";37.7;"%";"";
0204044;"Wąsosz - urban area (4)";"population per 1 km2";"2023";784.9;"person";"";
0204044;"Wąsosz - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
0204044;"Wąsosz - urban area (4)";"population chenge per 1000 inhabitants";"2023";-8.9;"person";"";
0204044;"Wąsosz - urban area (4)";"population in thousands";"2023";2.55;"thousand persons";"";
0204044;"Wąsosz - urban area (4)";"population in thousands men";"2023";1.24;"thousand persons";"";
0204044;"Wąsosz - urban area (4)";"population in thousands women";"2023";1.31;"thousand persons";"";
0204044;"Wąsosz - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
0204045;"Wąsosz - rural area (5)";"population per 1 km2";"2023";21.8;"person";"";
0204045;"Wąsosz - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
0204045;"Wąsosz - rural area (5)";"population chenge per 1000 inhabitants";"2023";-3.8;"person";"";
0204045;"Wąsosz - rural area (5)";"population in thousands";"2023";4.22;"thousand persons";"";
0204045;"Wąsosz - rural area (5)";"population in thousands men";"2023";2.12;"thousand persons";"";
0204045;"Wąsosz - rural area (5)";"population in thousands women";"2023";2.10;"thousand persons";"";
0204045;"Wąsosz - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
0205000;"Powiat jaworski";"population per 1 km2";"2023";81.2;"person";"";
0205000;"Powiat jaworski";"population density of the built-up and urbanized area";"2023";;"person";"";
0205000;"Powiat jaworski";"population chenge per 1000 inhabitants";"2023";-7.8;"person";"";
0205000;"Powiat jaworski";"population in thousands";"2023";47.21;"thousand persons";"";
0205000;"Powiat jaworski";"population in thousands men";"2023";23.12;"thousand persons";"";
0205000;"Powiat jaworski";"population in thousands women";"2023";24.09;"thousand persons";"";
0205000;"Powiat jaworski";"urbanization rate";"2023";53.2;"%";"";
0205011;"Jawor (1)";"population per 1 km2";"2023";1090.6;"person";"";
0205011;"Jawor (1)";"population density of the built-up and urbanized area";"2023";;"person";"";
0205011;"Jawor (1)";"population chenge per 1000 inhabitants";"2023";-16.8;"person";"";
0205011;"Jawor (1)";"population in thousands";"2023";20.50;"thousand persons";"";
0205011;"Jawor (1)";"population in thousands men";"2023";9.81;"thousand persons";"";
0205011;"Jawor (1)";"population in thousands women";"2023";10.69;"thousand persons";"";
0205011;"Jawor (1)";"urbanization rate";"2023";100.0;"%";"";
0205023;"Bolków (3)";"population per 1 km2";"2023";62.8;"person";"";
0205023;"Bolków (3)";"population density of the built-up and urbanized area";"2023";;"person";"";
0205023;"Bolków (3)";"population chenge per 1000 inhabitants";"2023";-7.0;"person";"";
0205023;"Bolków (3)";"population in thousands";"2023";9.59;"thousand persons";"";
0205023;"Bolków (3)";"population in thousands men";"2023";4.71;"thousand persons";"";
0205023;"Bolków (3)";"population in thousands women";"2023";4.88;"thousand persons";"";
0205023;"Bolków (3)";"urbanization rate";"2023";48.3;"%";"";
0205024;"Bolków - urban area (4)";"population per 1 km2";"2023";602.3;"person";"";
0205024;"Bolków - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
0205024;"Bolków - urban area (4)";"population chenge per 1000 inhabitants";"2023";-4.3;"person";"";
0205024;"Bolków - urban area (4)";"population in thousands";"2023";4.63;"thousand persons";"";
0205024;"Bolków - urban area (4)";"population in thousands men";"2023";2.21;"thousand persons";"";
0205024;"Bolków - urban area (4)";"population in thousands women";"2023";2.42;"thousand persons";"";
0205024;"Bolków - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
0205025;"Bolków - rural area (5)";"population per 1 km2";"2023";34.2;"person";"";
